City,StateProvinceName,CountryRegionName,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,AvgMonthSpend
Mill Valley,California,United States,6/10/1968 12:00:00 AM,Bachelors,Clerical,F,M,1,3,0,2,85002,1,51.04
Roncq,Nord,France,11/8/1994 12:00:00 AM,Partial College,Skilled Manual,M,S,0,1,0,0,59045,0,50.04
Pantin,Seine Saint Denis,France,4/2/1982 12:00:00 AM,Graduate Degree,Manual,M,S,0,0,0,0,27721,0,53.89
Burbank,California,United States,10/25/1957 12:00:00 AM,Graduate Degree,Professional,M,M,1,2,0,2,136872,0,51.97
Les Ulis,Essonne,France,10/23/1968 12:00:00 AM,High School,Manual,M,M,1,1,0,2,29129,0,48.43
N. Vancouver,British Columbia,Canada,5/12/1964 12:00:00 AM,High School,Manual,M,S,1,1,0,1,30808,0,45.37
Lavender Bay,New South Wales,Australia,6/20/1991 12:00:00 AM,Partial High School,Manual,F,M,0,1,0,1,28970,0,46.19
Westminster,British Columbia,Canada,9/5/1985 12:00:00 AM,Partial College,Skilled Manual,M,M,1,1,0,1,62027,0,52.44
Puyallup,Washington,United States,11/23/1980 12:00:00 AM,Partial College,Manual,M,M,1,0,0,2,33882,0,50.24
Warrnambool,Victoria,Australia,5/14/1986 12:00:00 AM,Bachelors,Clerical,M,S,0,2,0,0,80988,1,58.98
Milsons Point,New South Wales,Australia,12/19/1981 12:00:00 AM,Partial College,Skilled Manual,F,S,0,2,0,0,60608,1,50.93
Poing,Saarland,Germany,1/16/1984 12:00:00 AM,High School,Skilled Manual,F,S,0,1,0,0,55003,0,49.43
Burlingame,California,United States,8/25/1999 12:00:00 AM,Partial College,Clerical,F,S,0,3,0,0,78926,1,51.65
Burbank,California,United States,6/4/1965 12:00:00 AM,Bachelors,Manual,M,S,1,0,0,1,34141,1,48.39
Bottrop,Nordrhein-Westfalen,Germany,7/19/1987 12:00:00 AM,Bachelors,Skilled Manual,F,M,1,1,1,2,50947,1,51.25
Royal Oak,British Columbia,Canada,2/14/1974 12:00:00 AM,Partial High School,Manual,M,M,1,1,1,2,30131,0,49.48
Esher-Molesey,England,United Kingdom,11/8/1994 12:00:00 AM,Bachelors,Skilled Manual,M,M,0,1,0,0,54409,0,49.09
Seattle,Washington,United States,3/9/1988 12:00:00 AM,Bachelors,Skilled Manual,F,M,0,0,0,2,54414,0,48.46
Sunbury,Victoria,Australia,8/11/1963 12:00:00 AM,Graduate Degree,Management,M,M,1,3,1,2,108126,1,53.8
Concord,California,United States,2/17/1989 12:00:00 AM,Graduate Degree,Manual,M,M,0,1,2,2,30729,1,49.4
Renton,Washington,United States,6/6/1992 12:00:00 AM,Graduate Degree,Professional,M,S,1,1,0,0,138197,1,54.15
East Brisbane,Queensland,Australia,9/21/1997 12:00:00 AM,Partial College,Skilled Manual,F,M,0,1,0,0,52156,0,48.49
Hawthorne,Queensland,Australia,3/20/1991 12:00:00 AM,Partial High School,Manual,F,M,0,0,1,1,28895,0,48.7
Coffs Harbour,New South Wales,Australia,4/11/1983 12:00:00 AM,Bachelors,Professional,F,S,1,3,0,0,132730,1,52.34
Runcorn,England,United Kingdom,4/23/1988 12:00:00 AM,Partial College,Clerical,F,S,0,1,0,0,81368,0,50.57
Lynnwood,Washington,United States,12/25/1980 12:00:00 AM,Partial College,Clerical,F,M,1,3,0,1,82339,1,49.78
Drancy,Seine Saint Denis,France,9/6/1986 12:00:00 AM,High School,Clerical,F,S,0,1,0,0,86264,0,50.83
Daly City,California,United States,6/21/1997 12:00:00 AM,High School,Manual,F,M,0,1,0,0,32212,0,46.53
Beaverton,Oregon,United States,11/1/1965 12:00:00 AM,Bachelors,Skilled Manual,M,S,1,2,1,1,52288,1,48.5
Ingolstadt,Bayern,Germany,2/12/1974 12:00:00 AM,Partial College,Clerical,M,M,1,2,1,2,87167,1,58.78
Gateshead,England,United Kingdom,11/12/1984 12:00:00 AM,Bachelors,Management,M,M,1,2,0,0,106622,0,56.26
York,England,United Kingdom,5/16/1989 12:00:00 AM,Bachelors,Skilled Manual,F,M,0,1,0,1,56369,0,48.94
Rhodes,New South Wales,Australia,10/20/1984 12:00:00 AM,Bachelors,Skilled Manual,M,M,1,2,0,1,59830,0,51.84
Colomiers,Garonne (Haute),France,7/2/1981 12:00:00 AM,Graduate Degree,Professional,F,S,1,1,0,0,136429,0,57.13
Roissy en Brie,Seine et Marne,France,11/18/1975 12:00:00 AM,Partial College,Skilled Manual,M,M,1,0,1,2,52032,1,50.32
Watford,England,United Kingdom,6/1/1968 12:00:00 AM,Partial High School,Manual,M,M,1,0,1,2,29745,0,55.64
Concord,California,United States,8/18/1998 12:00:00 AM,Partial College,Management,M,S,0,1,0,0,106744,0,53.48
Beverly Hills,California,United States,4/13/1990 12:00:00 AM,Graduate Degree,Professional,F,S,1,0,0,0,128080,1,53.21
Paris,Seine (Paris),France,11/7/1986 12:00:00 AM,High School,Manual,M,S,0,1,0,0,31810,0,52.07
Malabar,New South Wales,Australia,8/15/1961 12:00:00 AM,Bachelors,Management,M,S,1,3,1,1,113404,1,51.7
Brisbane,Queensland,Australia,11/10/1981 12:00:00 AM,Bachelors,Clerical,F,S,1,2,0,0,80757,1,50.41
Port Macquarie,New South Wales,Australia,3/20/1954 12:00:00 AM,Graduate Degree,Professional,M,S,1,3,0,1,138895,1,53.56
San Diego,California,United States,7/18/1972 12:00:00 AM,Partial High School,Manual,F,S,1,0,0,0,25716,0,47.43
Daly City,California,United States,1/20/1995 12:00:00 AM,High School,Manual,M,S,0,1,0,0,36010,0,46.26
Daly City,California,United States,3/10/1991 12:00:00 AM,Graduate Degree,Professional,M,M,1,1,0,1,133346,0,52.44
Geelong,Victoria,Australia,1/23/1972 12:00:00 AM,High School,Skilled Manual,F,M,1,2,2,2,56546,1,52.57
Oregon City,Oregon,United States,2/21/1981 12:00:00 AM,High School,Skilled Manual,M,M,1,1,1,2,53456,0,51.58
San Diego,California,United States,11/17/1991 12:00:00 AM,Graduate Degree,Clerical,F,M,1,0,1,1,87051,1,52.52
Milsons Point,New South Wales,Australia,6/14/1973 12:00:00 AM,Partial College,Skilled Manual,M,M,1,2,1,2,55325,1,54
Braunschweig,Nordrhein-Westfalen,Germany,11/12/1987 12:00:00 AM,Bachelors,Professional,M,M,1,1,1,2,132848,1,53
Grossmont,California,United States,6/7/1981 12:00:00 AM,High School,Clerical,M,M,1,3,1,2,80641,1,58.36
Woodland Hills,California,United States,4/17/1984 12:00:00 AM,Bachelors,Management,M,M,1,2,0,0,109609,0,60.47
Bendigo,Victoria,Australia,5/6/1971 12:00:00 AM,Partial High School,Skilled Manual,F,M,1,2,0,2,55949,1,48.52
Melbourne,Victoria,Australia,6/11/1967 12:00:00 AM,High School,Skilled Manual,F,M,1,1,1,2,58918,1,49.58
Downey,California,United States,6/16/1978 12:00:00 AM,Partial College,Management,F,M,1,2,1,2,106100,1,52.69
Perth,South Australia,Australia,6/24/1987 12:00:00 AM,Bachelors,Skilled Manual,F,S,0,0,0,0,53864,0,51.91
Coffs Harbour,New South Wales,Australia,3/12/1978 12:00:00 AM,Bachelors,Management,M,S,1,3,0,0,109485,1,53.2
High Wycombe,England,United Kingdom,2/7/1991 12:00:00 AM,Partial High School,Manual,M,S,0,0,0,0,32120,0,46.62
Issaquah,Washington,United States,7/19/1992 12:00:00 AM,Bachelors,Professional,F,M,1,3,1,2,136084,1,56.03
Croix,Nord,France,6/11/1984 12:00:00 AM,Partial High School,Manual,F,S,0,0,0,0,34164,0,49.95
Lane Cove,New South Wales,Australia,6/2/1981 12:00:00 AM,Partial College,Manual,F,M,1,1,1,2,26675,0,49.25
München,Hamburg,Germany,5/4/1986 12:00:00 AM,Bachelors,Professional,M,M,1,2,0,2,127768,1,54.26
El Cajon,California,United States,9/10/1978 12:00:00 AM,Partial College,Manual,M,M,1,1,1,2,32621,1,54.99
Puyallup,Washington,United States,8/6/1981 12:00:00 AM,High School,Skilled Manual,F,S,0,0,0,0,53458,0,51
Sunbury,Victoria,Australia,10/14/1961 12:00:00 AM,Bachelors,Professional,M,M,1,2,0,2,138046,0,51.8
Burien,Washington,United States,8/22/1982 12:00:00 AM,Bachelors,Manual,M,M,1,0,1,1,27984,0,45.13
Concord,California,United States,5/15/1973 12:00:00 AM,Graduate Degree,Manual,F,M,1,0,2,2,31260,1,48.92
Tremblay-en-France,Seine Saint Denis,France,4/11/1988 12:00:00 AM,Graduate Degree,Skilled Manual,F,M,0,1,1,2,57683,1,49.49
Everett,Washington,United States,7/26/1982 12:00:00 AM,Partial College,Skilled Manual,M,M,1,1,1,1,53581,1,56.56
Cranbourne,Victoria,Australia,4/9/1971 12:00:00 AM,High School,Skilled Manual,M,M,1,2,2,2,51565,1,51.8
Ingolstadt,Bayern,Germany,4/2/1985 12:00:00 AM,High School,Clerical,M,S,0,2,0,0,86597,1,53.18
Oakland,California,United States,10/27/1957 12:00:00 AM,Graduate Degree,Skilled Manual,F,M,1,2,1,2,53434,1,51.89
Bremerton,Washington,United States,8/17/1973 12:00:00 AM,High School,Clerical,F,S,1,1,0,0,76493,0,50.4
Burien,Washington,United States,1/17/1973 12:00:00 AM,High School,Manual,M,M,1,1,1,2,26685,0,50.34
Renton,Washington,United States,5/19/1982 12:00:00 AM,Partial College,Manual,M,M,1,1,1,1,30144,1,55.68
North Ryde,New South Wales,Australia,4/17/1981 12:00:00 AM,Partial College,Management,F,S,1,0,0,0,102836,0,52.71
Melton,Victoria,Australia,10/19/1974 12:00:00 AM,Partial College,Skilled Manual,F,S,1,2,0,0,54666,0,51.03
Sydney,New South Wales,Australia,11/22/1979 12:00:00 AM,Graduate Degree,Clerical,F,M,1,1,1,2,82702,0,53.06
Gold Coast,Queensland,Australia,2/11/1988 12:00:00 AM,Bachelors,Skilled Manual,M,S,0,1,0,0,59540,1,48.29
Cliffside,British Columbia,Canada,2/13/1999 12:00:00 AM,Partial High School,Manual,F,S,0,0,0,0,29076,0,45.41
Hervey Bay,Queensland,Australia,8/12/1997 12:00:00 AM,Partial College,Clerical,M,S,0,3,0,0,77626,0,50.01
Darlinghurst,New South Wales,Australia,4/21/1988 12:00:00 AM,Bachelors,Clerical,M,M,1,3,0,1,80810,0,50.12
Puyallup,Washington,United States,2/14/1975 12:00:00 AM,High School,Clerical,F,S,1,2,0,0,80907,1,53.67
Caloundra,Queensland,Australia,1/15/1968 12:00:00 AM,Partial High School,Skilled Manual,M,M,1,0,0,2,51410,0,49.72
Paris,Seine (Paris),France,4/26/1972 12:00:00 AM,Partial College,Management,F,M,1,2,2,2,109823,1,51.1
Cergy,Val d'Oise,France,2/21/1967 12:00:00 AM,Partial High School,Manual,F,M,1,0,0,2,30757,0,45.92
Port Hammond,British Columbia,Canada,9/15/1966 12:00:00 AM,High School,Clerical,F,S,1,2,0,1,78233,0,49.9
Tacoma,Washington,United States,1/11/1979 12:00:00 AM,Bachelors,Manual,F,S,0,1,0,0,28355,0,47.59
Berlin,Saarland,Germany,9/23/1987 12:00:00 AM,Bachelors,Management,F,M,1,1,1,2,106671,1,53.87
Orleans,Loiret,France,8/3/1989 12:00:00 AM,Partial College,Skilled Manual,M,M,0,1,1,2,54436,1,51.32
Berlin,Saarland,Germany,7/14/1983 12:00:00 AM,High School,Manual,M,S,0,0,0,0,30137,1,44.94
Los Angeles,California,United States,2/27/1983 12:00:00 AM,Bachelors,Manual,M,S,0,0,0,0,31409,1,51.5
Palo Alto,California,United States,11/13/1977 12:00:00 AM,Partial High School,Skilled Manual,F,M,1,1,0,2,54880,0,48.42
Burbank,California,United States,8/23/2000 12:00:00 AM,High School,Manual,M,M,0,0,0,0,36762,1,46.94
Shawnee,British Columbia,Canada,10/19/1980 12:00:00 AM,Partial College,Management,F,M,1,1,1,1,109329,1,51.09
Lemon Grove,California,United States,8/11/1974 12:00:00 AM,Partial High School,Skilled Manual,M,M,1,2,1,1,61355,1,56.5
Tacoma,Washington,United States,4/4/1986 12:00:00 AM,Graduate Degree,Skilled Manual,M,M,1,1,1,2,60993,1,62.54
Saarbrücken,Saarland,Germany,10/4/1979 12:00:00 AM,Partial College,Management,M,M,1,1,1,1,107531,1,55.85
North Ryde,New South Wales,Australia,5/5/1994 12:00:00 AM,Partial High School,Skilled Manual,F,M,0,1,0,0,55420,0,48.69
Lane Cove,New South Wales,Australia,11/23/1976 12:00:00 AM,High School,Skilled Manual,M,M,1,2,1,2,53868,1,57.96
Paris,Seine (Paris),France,7/8/1977 12:00:00 AM,Partial College,Skilled Manual,F,S,1,0,0,0,57041,0,49.2
Rhodes,New South Wales,Australia,6/8/1974 12:00:00 AM,Partial High School,Manual,F,S,0,0,0,0,30373,0,46.65
Dresden,Hessen,Germany,8/18/1992 12:00:00 AM,Partial College,Manual,M,S,0,1,0,0,31875,0,50.02
Cranbourne,Victoria,Australia,2/18/1987 12:00:00 AM,Bachelors,Clerical,F,M,1,3,1,2,78941,1,51.21
Gold Coast,Queensland,Australia,6/13/1973 12:00:00 AM,Partial College,Manual,M,S,0,0,0,0,27257,0,56.65
Bellingham,Washington,United States,9/7/1980 12:00:00 AM,High School,Clerical,M,M,1,3,0,2,84915,0,50.9
Los Angeles,California,United States,4/11/1993 12:00:00 AM,Partial College,Clerical,F,S,0,1,0,0,85390,0,51.64
Berkeley,California,United States,10/3/1988 12:00:00 AM,Bachelors,Skilled Manual,M,S,0,1,0,0,57813,0,49.31
Vancouver,British Columbia,Canada,8/15/1986 12:00:00 AM,Graduate Degree,Skilled Manual,M,M,1,1,1,1,53439,0,57.52
High Wycombe,England,United Kingdom,7/14/1984 12:00:00 AM,High School,Clerical,M,M,1,1,1,1,86250,1,55.46
Burbank,California,United States,11/14/1993 12:00:00 AM,Graduate Degree,Management,F,S,0,2,0,0,105578,0,51.95
Tacoma,Washington,United States,8/4/1988 12:00:00 AM,Bachelors,Clerical,F,S,0,2,0,0,77905,0,53.41
Hervey Bay,Queensland,Australia,2/5/1988 12:00:00 AM,Bachelors,Skilled Manual,M,S,0,1,0,0,61847,0,53.08
Coronado,California,United States,7/13/1996 12:00:00 AM,Partial College,Clerical,F,S,0,3,0,0,86062,1,54.61
Lane Cove,New South Wales,Australia,12/26/1978 12:00:00 AM,Bachelors,Clerical,M,M,1,1,0,2,86032,1,59.65
Oregon City,Oregon,United States,10/9/1978 12:00:00 AM,Partial College,Manual,F,S,0,0,0,0,25715,0,45.98
Lemon Grove,California,United States,5/27/1969 12:00:00 AM,Partial College,Management,F,S,1,2,0,0,111971,1,51.84
Townsville,Queensland,Australia,6/16/1992 12:00:00 AM,High School,Clerical,M,S,0,0,0,0,87743,0,53.49
Les Ulis,Essonne,France,6/6/1981 12:00:00 AM,Partial College,Manual,F,S,0,1,0,0,28268,0,48.23
Victoria,British Columbia,Canada,9/28/1983 12:00:00 AM,Partial College,Management,M,M,1,2,0,2,104246,1,55.58
Santa Monica,California,United States,10/22/1988 12:00:00 AM,Bachelors,Skilled Manual,M,S,0,2,0,0,52500,1,52.6
Bellingham,Washington,United States,5/27/1981 12:00:00 AM,High School,Clerical,F,S,1,1,0,0,83857,0,50.6
Findon,South Australia,Australia,2/19/1977 12:00:00 AM,High School,Manual,F,S,0,1,0,0,36072,0,47.65
La Jolla,California,United States,1/10/1987 12:00:00 AM,Bachelors,Professional,M,S,1,2,0,0,132013,1,55.84
Burlingame,California,United States,9/3/1992 12:00:00 AM,Graduate Degree,Manual,M,S,0,1,0,0,28362,0,46.98
Bottrop,Nordrhein-Westfalen,Germany,6/24/1973 12:00:00 AM,High School,Skilled Manual,M,S,1,2,0,0,53586,1,50.04
Portland,Oregon,United States,9/10/1988 12:00:00 AM,Bachelors,Skilled Manual,F,M,0,1,1,1,60816,1,52.16
Paris,Seine (Paris),France,12/14/1990 12:00:00 AM,Partial College,Manual,M,M,0,0,1,1,34005,1,50.08
Cliffside,British Columbia,Canada,5/8/1979 12:00:00 AM,Graduate Degree,Manual,M,M,1,1,1,2,36925,1,59.44
Darlinghurst,New South Wales,Australia,5/4/1987 12:00:00 AM,Graduate Degree,Skilled Manual,M,M,1,2,0,2,62749,1,49.48
W. York,England,United Kingdom,11/15/2000 12:00:00 AM,Partial High School,Skilled Manual,M,S,0,1,0,0,56607,1,50.21
Sulzbach Taunus,Saarland,Germany,8/6/1998 12:00:00 AM,Partial College,Manual,M,S,0,1,0,0,29210,0,45.57
Wollongong,New South Wales,Australia,3/26/1984 12:00:00 AM,Bachelors,Management,M,S,1,3,0,0,103737,0,59.17
Lebanon,Oregon,United States,9/7/1991 12:00:00 AM,Graduate Degree,Clerical,F,M,1,1,1,2,86749,1,53.35
Langley,British Columbia,Canada,4/2/1996 12:00:00 AM,Partial College,Clerical,F,M,0,1,0,0,83843,0,49.81
Berlin,Hamburg,Germany,9/14/1992 12:00:00 AM,Partial College,Skilled Manual,M,M,0,2,0,1,60674,0,49.23
Torrance,California,United States,8/18/1992 12:00:00 AM,Graduate Degree,Management,F,S,0,2,0,0,104175,1,51.77
Corvallis,Oregon,United States,12/27/1987 12:00:00 AM,Partial College,Skilled Manual,M,S,0,0,0,0,60389,1,48.84
Oak Bay,British Columbia,Canada,4/8/1983 12:00:00 AM,Bachelors,Manual,F,S,0,1,0,0,32636,0,47.3
London,England,United Kingdom,9/6/1991 12:00:00 AM,Partial High School,Skilled Manual,M,S,0,1,0,0,52341,0,49.02
Newton,British Columbia,Canada,11/10/1998 12:00:00 AM,High School,Clerical,M,S,0,0,0,0,77538,0,53.15
Cloverdale,South Australia,Australia,11/13/1997 12:00:00 AM,High School,Clerical,F,S,0,1,0,0,80678,0,53.9
Seattle,Washington,United States,3/18/1994 12:00:00 AM,High School,Manual,M,M,0,1,0,0,30462,0,46.18
La Jolla,California,United States,6/24/1988 12:00:00 AM,Bachelors,Manual,F,S,0,1,0,0,34094,0,46.25
Downey,California,United States,10/16/1981 12:00:00 AM,High School,Skilled Manual,M,M,1,0,1,2,56899,1,56.5
Chula Vista,California,United States,11/27/1967 12:00:00 AM,High School,Skilled Manual,M,S,1,0,0,1,54059,1,50.08
Spring Valley,California,United States,8/27/1969 12:00:00 AM,Partial College,Manual,M,M,1,1,0,2,27261,0,50.6
Warrnambool,Victoria,Australia,3/17/1974 12:00:00 AM,Partial College,Skilled Manual,M,M,1,1,0,2,55990,0,57.74
Milsons Point,New South Wales,Australia,7/9/1987 12:00:00 AM,Bachelors,Management,F,M,1,3,0,2,102780,0,51.02
Imperial Beach,California,United States,6/28/1974 12:00:00 AM,High School,Manual,F,M,1,0,1,2,27646,0,46.35
Glendale,California,United States,10/24/1985 12:00:00 AM,Bachelors,Management,F,M,1,1,1,1,102062,1,55.22
Warrnambool,Victoria,Australia,7/18/1999 12:00:00 AM,High School,Manual,M,S,0,1,0,0,32873,0,46.08
Matraville,New South Wales,Australia,8/7/1971 12:00:00 AM,Partial College,Clerical,F,S,1,2,0,0,81239,1,54.07
Drancy,Seine Saint Denis,France,6/18/1996 12:00:00 AM,High School,Manual,F,S,0,0,0,0,27670,0,45.1
Novato,California,United States,10/13/1990 12:00:00 AM,Bachelors,Management,F,M,1,2,0,0,102139,1,51.12
Peterborough,England,United Kingdom,5/16/1999 12:00:00 AM,Partial College,Skilled Manual,M,S,0,2,0,0,61401,1,53.05
Beverly Hills,California,United States,7/14/1987 12:00:00 AM,Graduate Degree,Professional,M,S,1,2,0,0,129805,1,56.32
Beverly Hills,California,United States,3/19/1995 12:00:00 AM,High School,Skilled Manual,M,S,0,0,0,0,54235,1,50.35
Roissy en Brie,Seine et Marne,France,7/10/1992 12:00:00 AM,Bachelors,Management,M,M,1,0,0,1,109045,0,50.95
Port Orchard,Washington,United States,9/20/1997 12:00:00 AM,High School,Skilled Manual,F,S,0,2,0,0,53207,0,51.95
Newport Beach,California,United States,4/24/1969 12:00:00 AM,Partial College,Clerical,M,S,1,2,0,0,87067,1,60.79
Gold Coast,Queensland,Australia,4/7/1999 12:00:00 AM,High School,Clerical,F,S,0,1,0,0,82397,0,51.14
Chula Vista,California,United States,11/25/1987 12:00:00 AM,Graduate Degree,Management,F,S,1,3,0,0,103333,1,53
San Diego,California,United States,4/24/1985 12:00:00 AM,Graduate Degree,Clerical,F,M,1,0,0,1,80389,0,49.57
Woodland Hills,California,United States,5/20/1987 12:00:00 AM,Bachelors,Clerical,M,S,0,1,0,0,78116,0,50.85
Metchosin,British Columbia,Canada,9/11/1958 12:00:00 AM,Bachelors,Clerical,F,M,1,1,0,3,82786,0,49.86
Bracknell,England,United Kingdom,3/23/1994 12:00:00 AM,Partial High School,Manual,M,S,0,0,0,0,34275,0,50.99
Sunbury,Victoria,Australia,4/19/1971 12:00:00 AM,High School,Skilled Manual,M,M,1,1,0,2,56098,0,50.17
Tacoma,Washington,United States,6/23/1971 12:00:00 AM,Partial College,Skilled Manual,F,M,1,2,1,2,53559,1,47.81
Warrnambool,Victoria,Australia,3/11/1993 12:00:00 AM,High School,Clerical,F,S,0,3,0,0,85442,0,51.99
Chula Vista,California,United States,10/2/2000 12:00:00 AM,High School,Manual,M,M,0,0,0,0,31265,0,45.24
Findon,South Australia,Australia,6/13/1994 12:00:00 AM,Bachelors,Management,F,S,0,0,0,0,112390,1,55.08
Sedro Woolley,Washington,United States,2/6/1986 12:00:00 AM,Graduate Degree,Management,M,S,1,2,0,0,103909,1,61.57
Rockhampton,Queensland,Australia,3/12/1991 12:00:00 AM,Bachelors,Clerical,M,M,1,3,1,2,79217,1,49.25
Hawthorne,Queensland,Australia,3/22/1975 12:00:00 AM,High School,Manual,M,S,0,0,0,0,36439,1,47.62
East Brisbane,Queensland,Australia,11/19/1981 12:00:00 AM,Partial College,Clerical,F,M,1,0,0,2,86206,0,49.9
Sooke,British Columbia,Canada,8/15/1963 12:00:00 AM,Bachelors,Skilled Manual,M,M,1,1,0,3,53804,0,47.86
West Covina,California,United States,8/15/1981 12:00:00 AM,Partial College,Clerical,F,M,1,3,1,2,77195,1,53.75
Lincoln Acres,California,United States,6/25/1970 12:00:00 AM,Partial College,Clerical,M,S,1,3,0,0,77288,1,57.72
Beverly Hills,California,United States,11/8/1968 12:00:00 AM,Partial College,Skilled Manual,M,M,1,1,0,1,59629,0,55.48
Saarbrücken,Saarland,Germany,10/13/1980 12:00:00 AM,Partial College,Clerical,M,S,1,1,0,0,80865,0,53.82
Tremblay-en-France,Seine Saint Denis,France,11/14/1967 12:00:00 AM,Partial High School,Skilled Manual,M,M,1,0,1,2,53686,1,50.42
Oxon,England,United Kingdom,2/17/1995 12:00:00 AM,Partial High School,Skilled Manual,F,S,0,1,0,0,53060,0,48.32
Metz,Moselle,France,11/22/1993 12:00:00 AM,Partial High School,Manual,F,S,0,1,0,0,26668,0,49.45
Colma,California,United States,8/14/1985 12:00:00 AM,Bachelors,Clerical,M,S,0,0,0,0,80583,1,54.48
York,England,United Kingdom,12/25/1967 12:00:00 AM,Partial High School,Skilled Manual,F,S,1,0,1,1,61178,1,50.33
Bremerton,Washington,United States,7/7/1978 12:00:00 AM,High School,Skilled Manual,F,M,1,1,1,2,58120,1,49.67
North Ryde,New South Wales,Australia,11/20/1992 12:00:00 AM,High School,Skilled Manual,F,S,0,1,0,0,51591,0,50.78
Cliffside,British Columbia,Canada,4/4/1982 12:00:00 AM,Partial College,Management,M,M,1,1,0,1,108009,0,53.1
Oakland,California,United States,6/22/1988 12:00:00 AM,Bachelors,Skilled Manual,F,S,0,1,0,0,58638,0,49.81
Bellingham,Washington,United States,11/6/1998 12:00:00 AM,Partial College,Skilled Manual,F,S,0,0,0,0,54100,1,47.99
St. Leonards,New South Wales,Australia,1/2/1986 12:00:00 AM,Bachelors,Management,M,S,1,2,0,0,106324,0,57.26
Newport Beach,California,United States,2/6/1994 12:00:00 AM,Partial College,Manual,M,M,0,1,0,0,31458,1,45.44
San Carlos,California,United States,8/11/1983 12:00:00 AM,Bachelors,Skilled Manual,F,M,1,0,1,1,58068,1,50.8
Hervey Bay,Queensland,Australia,7/19/1968 12:00:00 AM,Partial High School,Manual,M,S,1,1,0,0,29701,0,56.09
Warrington,England,United Kingdom,3/28/1993 12:00:00 AM,High School,Skilled Manual,F,S,0,1,0,0,60650,0,53.33
Lemon Grove,California,United States,6/5/1983 12:00:00 AM,Bachelors,Skilled Manual,M,M,1,1,1,2,60481,0,53.14
Kirkland,Washington,United States,9/27/1981 12:00:00 AM,Partial College,Skilled Manual,F,S,0,2,0,0,57124,0,51.13
Bendigo,Victoria,Australia,2/15/1983 12:00:00 AM,Bachelors,Skilled Manual,F,S,0,1,0,0,52756,0,47.58
Cliffside,British Columbia,Canada,4/12/1959 12:00:00 AM,Graduate Degree,Skilled Manual,F,S,1,1,0,1,54490,0,52.64
London,England,United Kingdom,3/8/1981 12:00:00 AM,Graduate Degree,Manual,M,M,1,0,1,2,29695,0,56.34
Rockhampton,Queensland,Australia,8/15/1986 12:00:00 AM,Graduate Degree,Professional,F,S,1,1,0,0,130954,0,52.97
Newport Beach,California,United States,7/28/1966 12:00:00 AM,Bachelors,Skilled Manual,F,M,1,1,0,2,62032,0,48.38
Metz,Moselle,France,7/5/1984 12:00:00 AM,High School,Clerical,M,S,0,2,0,0,76637,1,53.65
Melton,Victoria,Australia,3/11/1998 12:00:00 AM,Partial College,Clerical,F,S,0,2,0,0,82641,0,54.54
Stuttgart,Saarland,Germany,4/17/1990 12:00:00 AM,Partial College,Management,M,S,0,2,0,0,111567,1,55.53
Olympia,Washington,United States,4/9/1980 12:00:00 AM,Partial College,Clerical,M,M,1,0,1,2,83564,1,57.21
Yakima,Washington,United States,7/11/1986 12:00:00 AM,Bachelors,Management,F,S,1,3,0,0,105074,1,54.09
Newport Beach,California,United States,9/12/1981 12:00:00 AM,Bachelors,Clerical,M,M,1,2,1,2,78276,1,60.89
Olympia,Washington,United States,3/11/1967 12:00:00 AM,Bachelors,Manual,F,M,1,0,0,2,35248,1,47.02
Mill Valley,California,United States,9/10/1984 12:00:00 AM,Bachelors,Professional,F,M,1,2,0,2,137507,1,52.57
High Wycombe,England,United Kingdom,4/25/2000 12:00:00 AM,Partial High School,Manual,M,M,0,1,0,0,31388,0,46.02
Oakland,California,United States,4/6/2000 12:00:00 AM,High School,Clerical,F,M,0,3,0,0,84003,0,50.57
Coronado,California,United States,8/18/1981 12:00:00 AM,High School,Skilled Manual,M,M,1,2,1,1,58820,1,52.48
Berkshire,England,United Kingdom,4/18/1991 12:00:00 AM,Partial College,Manual,M,S,0,0,0,0,34776,1,47.48
Santa Monica,California,United States,12/18/1977 12:00:00 AM,High School,Skilled Manual,F,S,1,2,0,0,59268,1,50.92
Hamburg,Hamburg,Germany,7/4/1992 12:00:00 AM,High School,Skilled Manual,F,S,0,0,0,0,61278,1,53.16
Caloundra,Queensland,Australia,3/5/1992 12:00:00 AM,High School,Manual,M,S,0,1,0,0,26918,0,49.52
Kirkland,Washington,United States,12/17/1993 12:00:00 AM,Graduate Degree,Management,M,M,1,2,0,0,108842,0,51.26
Port Hammond,British Columbia,Canada,12/22/1977 12:00:00 AM,High School,Skilled Manual,F,M,1,2,1,2,60422,1,52.91
Salem,Oregon,United States,10/8/1980 12:00:00 AM,Partial College,Skilled Manual,F,M,1,2,1,2,52540,1,50.15
Burlingame,California,United States,6/17/1979 12:00:00 AM,Bachelors,Skilled Manual,F,M,1,2,1,2,52620,1,49.32
Woodburn,Oregon,United States,2/10/1977 12:00:00 AM,Partial High School,Skilled Manual,F,S,1,1,0,0,58560,0,49.88
Newcastle upon Tyne,England,United Kingdom,9/19/1990 12:00:00 AM,Partial College,Skilled Manual,M,S,0,1,0,0,53019,0,51.18
